

|Skills        |Country     |   n| mean|Job                       |
|kafka         |Ireland     |   2|  152|Senior Data Engineer      |
|jquery        |Spain       |   1|  152|Data Scientist            |
|jquery        |Romania     |   1|  152|Data Scientist            |
|html          |Romania     |   1|  152|Data Scientist            |
|github        |Sweden      |   1|  152|Senior Data Engineer      |
|github        |Ireland     |   1|  152|Data Engineer             |
|flask         |Italy       |   1|  152|Data Engineer             |
|flask         |Ireland     |   1|  152|Senior Data Engineer      |
|dynamodb      |Germany     |   1|  152|Data Engineer             |
|dynamodb      |France      |   2|  152|Data Engineer             |
|dax           |France      |   1|  152|Data Engineer             |
|css           |Romania     |   1|  152|Data Scientist            |
|couchdb       |France      |   1|  152|Data Engineer             |
|confluence    |Portugal    |   1|  152|Senior Data Engineer      |
|confluence    |Ireland     |   1|  152|Data Analyst              |
|cassandra     |Germany     |   1|  152|Senior Data Engineer      |
|c#            |Sweden      |   1|  152|Data Engineer             |
|bash          |Portugal    |   1|  152|Senior Data Engineer      |
|aurora        |Ireland     |   1|  152|Senior Data Engineer      |
|asp.net       |Hungary     |   1|  152|Senior Data Engineer      |
|asana         |Ireland     |   1|  152|Data Analyst              |
|ansible       |Belgium     |   1|  152|Data Engineer             |
|kafka         |Germany     |  16|  152|Senior Data Engineer      |
|kafka         |Germany     |  16|  152|Senior Data Scientist     |
|kafka         |Germany     |  16|  152|Data Engineer             |
|kafka         |Germany     |  16|  152|Machine Learning Engineer |
|kafka         |Germany     |  16|  152|Data Scientist            |
|kafka         |Germany     |  16|  152|Data Analyst              |
|postgresql    |Germany     |   7|  152|Machine Learning Engineer |
|postgresql    |Germany     |   7|  152|Senior Data Engineer      |
|postgresql    |Germany     |   7|  152|Data Engineer             |
|postgresql    |Germany     |   7|  152|Senior Data Scientist     |
|nosql         |Ireland     |   6|  151|Data Scientist            |
|nosql         |Ireland     |   6|  151|Senior Data Engineer      |
|nosql         |Ireland     |   6|  151|Senior Data Scientist     |
|nosql         |Ireland     |   6|  151|Data Engineer             |
|nosql         |Ireland     |   6|  151|Data Analyst              |
|aws           |Ireland     |  16|  150|Data Engineer             |
|aws           |Ireland     |  16|  150|Machine Learning Engineer |
|aws           |Ireland     |  16|  150|Senior Data Engineer      |
|aws           |Ireland     |  16|  150|Senior Data Scientist     |
|aws           |Ireland     |  16|  150|Data Scientist            |
|aws           |Ireland     |  16|  150|Senior Data Analyst       |
|aws           |Ireland     |  16|  150|Data Analyst              |
|gcp           |Ireland     |   7|  150|Machine Learning Engineer |
|gcp           |Ireland     |   7|  150|Software Engineer         |
|gcp           |Ireland     |   7|  150|Senior Data Scientist     |
|gcp           |Ireland     |   7|  150|Senior Data Analyst       |
|gcp           |Ireland     |   7|  150|Data Analyst              |
|gcp           |Ireland     |   7|  150|Senior Data Engineer      |
|oracle        |Romania     |   5|  149|Software Engineer         |
|oracle        |Romania     |   5|  149|Data Engineer             |
|oracle        |Romania     |   5|  149|Data Scientist            |
|oracle        |Romania     |   5|  149|Data Analyst              |
|bigquery      |Germany     |  10|  149|Senior Data Scientist     |
|bigquery      |Germany     |  10|  149|Data Engineer             |
|bigquery      |Germany     |  10|  149|Senior Data Engineer      |
|bigquery      |Germany     |  10|  149|Senior Data Analyst       |
|bigquery      |Germany     |  10|  149|Data Analyst              |
|c++           |Romania     |   3|  148|Software Engineer         |
|c++           |Romania     |   3|  148|Senior Data Analyst       |
|c#            |Netherlands |   3|  148|Data Engineer             |
|c#            |Netherlands |   3|  148|Data Analyst              |
|c#            |Netherlands |   3|  148|Software Engineer         |
|matplotlib    |France      |   5|  148|Data Scientist            |
|matplotlib    |France      |   5|  148|Senior Data Scientist     |
|power bi      |Romania     |   3|  147|Data Engineer             |
|power bi      |Romania     |   3|  147|Data Scientist            |
|airflow       |Ireland     |   7|  147|Machine Learning Engineer |
|airflow       |Ireland     |   7|  147|Data Engineer             |
|airflow       |Ireland     |   7|  147|Senior Data Engineer      |
|airflow       |Ireland     |   7|  147|Data Analyst              |
|unix          |France      |   3|  147|Senior Data Engineer      |
|unix          |France      |   3|  147|Data Engineer             |
|github        |Germany     |  10|  147|Data Engineer             |
|github        |Germany     |  10|  147|Data Analyst              |
|github        |Germany     |  10|  147|Data Scientist            |
|github        |Germany     |  10|  147|Machine Learning Engineer |
|github        |Germany     |  10|  147|Cloud Engineer            |
|ssis          |Poland      |   5|  147|Software Engineer         |
|ssis          |Poland      |   5|  147|Senior Data Engineer      |
|ssis          |Poland      |   5|  147|Data Engineer             |
|matplotlib    |Spain       |   5|  147|Data Analyst              |
|matplotlib    |Spain       |   5|  147|Senior Data Scientist     |
|matplotlib    |Spain       |   5|  147|Machine Learning Engineer |
|go            |Denmark     |   4|  147|Senior Data Engineer      |
|go            |Denmark     |   4|  147|Data Analyst              |
|go            |Denmark     |   4|  147|Data Scientist            |
|go            |Denmark     |   4|  147|Machine Learning Engineer |
|c++           |Greece      |   3|  146|Data Engineer             |
|c++           |Greece      |   3|  146|Machine Learning Engineer |
|snowflake     |Netherlands |   4|  146|Senior Data Engineer      |
|snowflake     |Netherlands |   4|  146|Data Scientist            |
|snowflake     |Netherlands |   4|  146|Data Engineer             |
|hadoop        |Ireland     |   7|  145|Data Scientist            |
|hadoop        |Ireland     |   7|  145|Data Engineer             |
|hadoop        |Ireland     |   7|  145|Senior Data Scientist     |
|hadoop        |Ireland     |   7|  145|Senior Data Engineer      |
|react         |Finland     |   1|  145|Machine Learning Engineer |
|pandas        |Finland     |   1|  145|Machine Learning Engineer |
|numpy         |Finland     |   1|  145|Machine Learning Engineer |
|fastapi       |France      |   1|  145|Machine Learning Engineer |
|spring        |Greece      |   1|  145|Data Analyst              |
|ssis          |Romania     |   2|  145|Data Engineer             |
|postgresql    |Spain       |   2|  145|Data Engineer             |
|postgresql    |Spain       |   2|  145|Machine Learning Engineer |
|pytorch       |Ireland     |   3|  144|Machine Learning Engineer |
|pytorch       |Ireland     |   3|  144|Data Scientist            |
|twilio        |Germany     |   1|  144|Data Engineer             |
|solidity      |Germany     |   1|  144|Data Engineer             |
|slack         |Denmark     |   1|  144|Data Scientist            |
|pandas        |Denmark     |   1|  144|Data Scientist            |
|numpy         |Denmark     |   1|  144|Data Scientist            |
|notion        |Denmark     |   1|  144|Data Scientist            |
|node          |Germany     |   1|  144|Data Engineer             |
|mongodb       |Denmark     |   2|  144|Data Scientist            |
|golang        |Germany     |   1|  144|Data Engineer             |
|snowflake     |Poland      |  27|  144|Senior Data Engineer      |
|snowflake     |Poland      |  27|  144|Data Scientist            |
|snowflake     |Poland      |  27|  144|Data Engineer             |
|snowflake     |Poland      |  27|  144|Senior Data Scientist     |
|snowflake     |Poland      |  27|  144|Machine Learning Engineer |
|snowflake     |Poland      |  27|  144|Data Analyst              |
|snowflake     |Poland      |  27|  144|Senior Data Analyst       |
|snowflake     |Poland      |  27|  144|Cloud Engineer            |
|pandas        |Germany     |  12|  144|Data Analyst              |
|pandas        |Germany     |  12|  144|Senior Data Scientist     |
|pandas        |Germany     |  12|  144|Senior Data Engineer      |
|pandas        |Germany     |  12|  144|Data Scientist            |
|pandas        |Germany     |  12|  144|Machine Learning Engineer |
|airflow       |Germany     |  24|  143|Senior Data Scientist     |
|airflow       |Germany     |  24|  143|Data Scientist            |
|airflow       |Germany     |  24|  143|Data Engineer             |
|airflow       |Germany     |  24|  143|Senior Data Engineer      |
|airflow       |Germany     |  24|  143|Machine Learning Engineer |
|hugging face  |Hungary     |   3|  143|Machine Learning Engineer |
|hugging face  |Hungary     |   3|  143|Data Analyst              |
|hugging face  |Hungary     |   3|  143|Senior Data Scientist     |
|jenkins       |Germany     |  10|  143|Cloud Engineer            |
|jenkins       |Germany     |  10|  143|Data Engineer             |
|jenkins       |Germany     |  10|  143|Data Scientist            |
|jenkins       |Germany     |  10|  143|Machine Learning Engineer |
|jenkins       |Germany     |  10|  143|Senior Data Scientist     |
|tensorflow    |Spain       |   8|  143|Machine Learning Engineer |
|tensorflow    |Spain       |   8|  143|Software Engineer         |
|tensorflow    |Spain       |   8|  143|Senior Data Engineer      |
|numpy         |Spain       |   4|  142|Data Analyst              |
|numpy         |Spain       |   4|  142|Machine Learning Engineer |
|terraform     |Germany     |  15|  142|Cloud Engineer            |
|terraform     |Germany     |  15|  142|Data Scientist            |
|terraform     |Germany     |  15|  142|Data Engineer             |
|terraform     |Germany     |  15|  142|Machine Learning Engineer |
|terraform     |Germany     |  15|  142|Senior Data Scientist     |
|terraform     |Germany     |  15|  142|Data Analyst              |
|snowflake     |Ireland     |   8|  142|Data Scientist            |
|snowflake     |Ireland     |   8|  142|Data Engineer             |
|snowflake     |Ireland     |   8|  142|Senior Data Analyst       |
|snowflake     |Ireland     |   8|  142|Data Analyst              |
|snowflake     |Ireland     |   8|  142|Senior Data Engineer      |
|pytorch       |Finland     |   2|  141|Machine Learning Engineer |
|flow          |Portugal    |   3|  141|Data Engineer             |
|flow          |Portugal    |   3|  141|Senior Data Scientist     |
|spark         |Ireland     |   8|  141|Data Engineer             |
|spark         |Ireland     |   8|  141|Senior Data Scientist     |
|spark         |Ireland     |   8|  141|Senior Data Engineer      |
|redshift      |Denmark     |   3|  141|Senior Data Engineer      |
|redshift      |Denmark     |   3|  141|Data Engineer             |
|redshift      |Denmark     |   3|  141|Machine Learning Engineer |
|redshift      |Germany     |  16|  140|Senior Data Engineer      |
|redshift      |Germany     |  16|  140|Senior Data Scientist     |
|redshift      |Germany     |  16|  140|Business Analyst          |
|redshift      |Germany     |  16|  140|Data Engineer             |
|redshift      |Germany     |  16|  140|Data Scientist            |
|redshift      |Germany     |  16|  140|Senior Data Analyst       |
|redshift      |Germany     |  16|  140|Data Analyst              |
|redshift      |Portugal    |   6|  140|Data Engineer             |
|pytorch       |Spain       |   6|  140|Machine Learning Engineer |
|pytorch       |Spain       |   6|  140|Data Scientist            |
|pytorch       |Spain       |   6|  140|Software Engineer         |
|pytorch       |Spain       |   6|  140|Senior Data Engineer      |
|bigquery      |Netherlands |   6|  140|Senior Data Engineer      |
|bigquery      |Netherlands |   6|  140|Data Engineer             |
|bigquery      |Netherlands |   6|  140|Data Scientist            |
|pytorch       |Netherlands |   7|  140|Machine Learning Engineer |
|pytorch       |Netherlands |   7|  140|Senior Data Scientist     |
|pytorch       |Netherlands |   7|  140|Data Scientist            |
|airflow       |Finland     |   4|  140|Senior Data Scientist     |
|airflow       |Finland     |   4|  140|Senior Data Engineer      |
|airflow       |Finland     |   4|  140|Machine Learning Engineer |
|pandas        |Ireland     |   2|  140|Senior Data Scientist     |
|pandas        |Ireland     |   2|  140|Machine Learning Engineer |
|mysql         |Poland      |   8|  140|Data Engineer             |
|mysql         |Poland      |   8|  140|Senior Data Engineer      |
|mysql         |Poland      |   8|  140|Business Analyst          |
|gdpr          |Germany     |   5|  140|Senior Data Engineer      |
|gdpr          |Germany     |   5|  140|Senior Data Scientist     |
|gdpr          |Germany     |   5|  140|Data Engineer             |
|kafka         |Hungary     |   6|  140|Machine Learning Engineer |
|kafka         |Hungary     |   6|  140|Data Engineer             |
|kafka         |Hungary     |   6|  140|Senior Data Engineer      |
|kafka         |Hungary     |   6|  140|Senior Data Scientist     |
|pandas        |Spain       |  10|  140|Data Analyst              |
|pandas        |Spain       |  10|  140|Data Engineer             |
|pandas        |Spain       |  10|  140|Machine Learning Engineer |
|pandas        |Spain       |  10|  140|Software Engineer         |
|pandas        |Spain       |  10|  140|Senior Data Engineer      |
|aws           |Denmark     |   4|  140|Senior Data Engineer      |
|aws           |Denmark     |   4|  140|Data Scientist            |
|aws           |Denmark     |   4|  140|Data Engineer             |
|aws           |Denmark     |   4|  140|Machine Learning Engineer |
|jira          |Germany     |   4|  139|Data Engineer             |
|jira          |Germany     |   4|  139|Senior Data Engineer      |
|jira          |Germany     |   4|  139|Machine Learning Engineer |
|databricks    |Portugal    |  13|  139|Data Analyst              |
|databricks    |Portugal    |  13|  139|Data Engineer             |
|databricks    |Portugal    |  13|  139|Data Scientist            |
|databricks    |Portugal    |  13|  139|Machine Learning Engineer |
|databricks    |Portugal    |  13|  139|Senior Data Engineer      |
|scikit-learn  |Portugal    |   7|  139|Data Scientist            |
|scikit-learn  |Portugal    |   7|  139|Data Analyst              |
|scikit-learn  |Portugal    |   7|  139|Machine Learning Engineer |
|airflow       |Hungary     |   6|  138|Machine Learning Engineer |
|airflow       |Hungary     |   6|  138|Senior Data Analyst       |
|airflow       |Hungary     |   6|  138|Data Engineer             |
|airflow       |Hungary     |   6|  138|Senior Data Engineer      |
|airflow       |Hungary     |   6|  138|Senior Data Scientist     |
|jira          |Poland      |   2|  138|Data Analyst              |
|jira          |Poland      |   2|  138|Senior Data Scientist     |
|assembly      |Sweden      |   1|  138|Data Engineer             |
|alteryx       |Belgium     |   1|  138|Data Engineer             |
|databricks    |Poland      |  11|  138|Data Engineer             |
|databricks    |Poland      |  11|  138|Senior Data Scientist     |
|databricks    |Poland      |  11|  138|Data Scientist            |
|databricks    |Poland      |  11|  138|Machine Learning Engineer |
|databricks    |Poland      |  11|  138|Senior Data Analyst       |
|databricks    |Poland      |  11|  138|Senior Data Engineer      |
|databricks    |Poland      |  11|  138|Cloud Engineer            |
|airflow       |Netherlands |   9|  138|Senior Data Engineer      |
|airflow       |Netherlands |   9|  138|Data Analyst              |
|airflow       |Netherlands |   9|  138|Machine Learning Engineer |
|airflow       |Netherlands |   9|  138|Data Engineer             |
|airflow       |Netherlands |   9|  138|Data Scientist            |
|airflow       |France      |  30|  138|Senior Data Engineer      |
|airflow       |France      |  30|  138|Data Analyst              |
|airflow       |France      |  30|  138|Data Engineer             |
|airflow       |France      |  30|  138|Data Scientist            |
|airflow       |France      |  30|  138|Senior Data Scientist     |
|snowflake     |Portugal    |   2|  138|Data Engineer             |
|bitbucket     |Portugal    |   2|  138|Data Engineer             |
|bitbucket     |Portugal    |   2|  138|Senior Data Engineer      |
|numpy         |Germany     |   4|  138|Data Analyst              |
|numpy         |Germany     |   4|  138|Senior Data Scientist     |
|numpy         |Germany     |   4|  138|Machine Learning Engineer |
|mongodb       |Hungary     |   2|  138|Data Engineer             |
|fastapi       |Hungary     |   1|  138|Data Engineer             |
|pyspark       |Germany     |  10|  137|Senior Data Scientist     |
|pyspark       |Germany     |  10|  137|Senior Data Engineer      |
|pyspark       |Germany     |  10|  137|Data Scientist            |
|pyspark       |Germany     |  10|  137|Data Engineer             |
|pyspark       |Germany     |  10|  137|Business Analyst          |
|pyspark       |Germany     |  10|  137|Data Analyst              |
|java          |Sweden      |   5|  137|Senior Data Engineer      |
|java          |Sweden      |   5|  137|Machine Learning Engineer |
|java          |Sweden      |   5|  137|Data Engineer             |
|gcp           |Germany     |  13|  137|Data Engineer             |
|gcp           |Germany     |  13|  137|Data Analyst              |
|gcp           |Germany     |  13|  137|Senior Data Engineer      |
|gcp           |Germany     |  13|  137|Senior Data Scientist     |
|mysql         |Ireland     |   2|  137|Senior Data Analyst       |
|mysql         |Ireland     |   2|  137|Senior Data Engineer      |
|hadoop        |Sweden      |   2|  137|Data Engineer             |
|hadoop        |Sweden      |   2|  137|Data Analyst              |
|snowflake     |Germany     |  20|  137|Senior Data Engineer      |
|snowflake     |Germany     |  20|  137|Senior Data Scientist     |
|snowflake     |Germany     |  20|  137|Data Scientist            |
|snowflake     |Germany     |  20|  137|Data Engineer             |
|snowflake     |Germany     |  20|  137|Senior Data Analyst       |
|tensorflow    |Netherlands |   6|  137|Senior Data Scientist     |
|tensorflow    |Netherlands |   6|  137|Machine Learning Engineer |
|tensorflow    |Netherlands |   6|  137|Data Scientist            |
|postgresql    |Romania     |   1|  136|Data Scientist            |
|kafka         |Portugal    |  10|  136|Data Engineer             |
|kafka         |Portugal    |  10|  136|Senior Data Engineer      |
|kafka         |Portugal    |  10|  136|Data Scientist            |
|kafka         |Portugal    |  10|  136|Senior Data Scientist     |
|databricks    |Germany     |  13|  136|Senior Data Scientist     |
|databricks    |Germany     |  13|  136|Data Engineer             |
|databricks    |Germany     |  13|  136|Senior Data Engineer      |
|databricks    |Germany     |  13|  136|Data Analyst              |
|databricks    |Germany     |  13|  136|Cloud Engineer            |
|aws           |Portugal    |  26|  136|Data Engineer             |
|aws           |Portugal    |  26|  136|Data Scientist            |
|aws           |Portugal    |  26|  136|Machine Learning Engineer |
|aws           |Portugal    |  26|  136|Senior Data Engineer      |
|aws           |Portugal    |  26|  136|Software Engineer         |
|azure         |Ireland     |  13|  136|Data Engineer             |
|azure         |Ireland     |  13|  136|Data Analyst              |
|azure         |Ireland     |  13|  136|Senior Data Scientist     |
|azure         |Ireland     |  13|  136|Data Scientist            |
|azure         |Ireland     |  13|  136|Senior Data Analyst       |
|azure         |Ireland     |  13|  136|Senior Data Engineer      |
|redis         |France      |   3|  136|Data Engineer             |
|redis         |France      |   3|  136|Machine Learning Engineer |
|airflow       |Portugal    |  14|  136|Data Engineer             |
|airflow       |Portugal    |  14|  136|Senior Data Scientist     |
|airflow       |Portugal    |  14|  136|Senior Data Engineer      |
|flask         |Spain       |   2|  136|Data Engineer             |
|flask         |Spain       |   2|  136|Machine Learning Engineer |
|snowflake     |Belgium     |   2|  136|Data Engineer             |
|snowflake     |Belgium     |   2|  136|Data Analyst              |
|c++           |Ireland     |   3|  136|Senior Data Scientist     |
|c++           |Ireland     |   3|  136|Senior Data Engineer      |
|c++           |Ireland     |   3|  136|Machine Learning Engineer |
|postgresql    |France      |  10|  136|Senior Data Engineer      |
|postgresql    |France      |  10|  136|Data Engineer             |
|postgresql    |France      |  10|  136|Data Scientist            |
|postgresql    |France      |  10|  136|Software Engineer         |
|go            |Italy       |   1|  136|Data Engineer             |
|django        |Spain       |   1|  136|Data Engineer             |
|dax           |Spain       |   1|  136|Data Engineer             |
|tensorflow    |Ireland     |   4|  135|Machine Learning Engineer |
|tensorflow    |Ireland     |   4|  135|Data Scientist            |
|pyspark       |Netherlands |   8|  135|Data Engineer             |
|pyspark       |Netherlands |   8|  135|Data Analyst              |
