

|Country     |Parameter    |Business Analyst |Cloud Engineer |Data Analyst |Data Engineer |Data Scientist |Machine Learning Engineer |Senior Data Analyst |Senior Data Engineer |Senior Data Scientist |Software Engineer |
|Germany     |Mean (SD)    |81 (27)          |123 (56)       |104 (41)     |134 (40)      |120 (47)       |117 (53)                  |102 (19)            |131 (30)             |153 (34)              |93 (44)           |
|Germany     |Median (IQR) |91 (30)          |91 (57)        |106 (38)     |151 (51)      |135 (90)       |91 (81)                   |114 (27)            |151 (60)             |162 (10)              |87 (33)           |
|Germany     |N            |11.0             |7.0            |48.0         |39.0          |41.0           |39.0                      |15.0                |26.0                 |21.0                  |10.0              |
|Greece      |Mean (SD)    |68 (5)           |NA             |115 (41)     |100 (33)      |100 (31)       |119 (37)                  |NA                  |46 (0)               |117 (54)              |93 (39)           |
|Greece      |Median (IQR) |64 (5)           |NA             |102 (51)     |99 (31)       |92 (19)        |104 (63)                  |NA                  |46 (0)               |91 (66)               |83 (48)           |
|Greece      |N            |3.0              |               |16.0         |24.0          |12.0           |14.0                      |                    |1.0                  |6.0                   |6.0               |
|Hungary     |Mean (SD)    |NA               |91 (0)         |90 (32)      |136 (21)      |100 (38)       |112 (63)                  |90 (2)              |151 (0)              |115 (40)              |73 (17)           |
|Hungary     |Median (IQR) |NA               |91 (0)         |83 (44)      |151 (14)      |91 (36)        |83 (112)                  |90 (1)              |151 (0)              |91 (35)               |70 (27)           |
|Hungary     |N            |                 |1.0            |18.0         |13.0          |13.0           |5.0                       |2.0                 |3.0                  |3.0                   |4.0               |
|Ireland     |Mean (SD)    |NA               |NA             |106 (40)     |133 (27)      |114 (45)       |139 (44)                  |132 (63)            |143 (25)             |162 (11)              |91 (0)            |
|Ireland     |Median (IQR) |NA               |NA             |101 (31)     |151 (51)      |105 (60)       |171 (61)                  |121 (62)            |151 (0)              |166 (12)              |91 (0)            |
|Ireland     |N            |                 |               |19.0         |9.0           |6.0            |5.0                       |3.0                 |6.0                  |4.0                   |1.0               |
|Italy       |Mean (SD)    |44 (0)           |NA             |76 (27)      |115 (26)      |99 (38)        |91 (16)                   |106 (13)            |NA                   |85 (19)               |96 (16)           |
|Italy       |Median (IQR) |44 (0)           |NA             |54 (51)      |100 (40)      |91 (56)        |91 (16)                   |114 (11)            |NA                   |75 (17)               |96 (11)           |
|Italy       |N            |1.0              |               |11.0         |12.0          |12.0           |3.0                       |3.0                 |                     |3.0                   |2.0               |
|Netherlands |Mean (SD)    |88 (22)          |NA             |101 (34)     |110 (25)      |139 (32)       |130 (54)                  |114 (0)             |141 (28)             |129 (47)              |113 (69)          |
|Netherlands |Median (IQR) |91 (21)          |NA             |96 (38)      |100 (18)      |162 (53)       |126 (89)                  |114 (0)             |151 (0)              |151 (43)              |91 (66)           |
|Netherlands |N            |3.0              |               |20.0         |23.0          |17.0           |12.0                      |1.0                 |5.0                  |3.0                   |3.0               |
|Poland      |Mean (SD)    |90 (30)          |104 (61)       |90 (30)      |121 (41)      |124 (40)       |115 (39)                  |110 (12)            |102 (41)             |136 (33)              |95 (22)           |
|Poland      |Median (IQR) |89 (14)          |86 (15)        |91 (55)      |137 (58)      |135 (70)       |91 (53)                   |114 (0)             |91 (62)              |162 (68)              |91 (0)            |
|Poland      |N            |8.0              |6.0            |43.0         |46.0          |29.0           |23.0                      |9.0                 |9.0                  |12.0                  |15.0              |
|Portugal    |Mean (SD)    |72 (12)          |NA             |96 (31)      |125 (27)      |136 (34)       |145 (46)                  |114 (0)             |122 (45)             |129 (39)              |121 (38)          |
|Portugal    |Median (IQR) |75 (12)          |NA             |91 (39)      |129 (52)      |157 (49)       |171 (82)                  |114 (0)             |151 (60)             |151 (58)              |97 (69)           |
|Portugal    |N            |3.0              |               |37.0         |30.0          |22.0           |14.0                      |4.0                 |5.0                  |11.0                  |5.0               |
|Romania     |Mean (SD)    |83 (0)           |58 (0)         |76 (25)      |106 (36)      |112 (37)       |144 (45)                  |129 (48)            |121 (42)             |NA                    |133 (79)          |
|Romania     |Median (IQR) |83 (0)           |58 (0)         |75 (40)      |100 (29)      |124 (60)       |171 (39)                  |114 (27)            |121 (30)             |NA                    |144 (122)         |
|Romania     |N            |1.0              |1.0            |12.0         |6.0           |7.0            |3.0                       |4.0                 |2.0                  |                      |4.0               |
|Spain       |Mean (SD)    |114 (58)         |93 (35)        |94 (24)      |120 (35)      |96 (33)        |116 (51)                  |110 (8)             |127 (36)             |143 (60)              |106 (58)          |
|Spain       |Median (IQR) |89 (96)          |91 (35)        |94 (31)      |137 (60)      |90 (23)        |104 (72)                  |114 (0)             |151 (60)             |162 (50)              |79 (90)           |
|Spain       |N            |5.0              |3.0            |30.0         |35.0          |20.0           |16.0                      |9.0                 |11.0                 |7.0                   |8.0               |
|Sweden      |Mean (SD)    |85 (25)          |NA             |100 (22)     |136 (58)      |137 (34)       |133 (45)                  |93 (36)             |151 (0)              |175 (22)              |161 (0)           |
|Sweden      |Median (IQR) |91 (14)          |NA             |108 (21)     |137 (53)      |162 (47)       |145 (43)                  |114 (31)            |151 (0)              |175 (22)              |161 (0)           |
|Sweden      |N            |7.0              |               |9.0          |8.0           |7.0            |3.0                       |3.0                 |6.0                  |3.0                   |1.0               |
##------ Thu Dec  5 17:34:44 2024 ------##
[1] "Europe/Paris"
[1] "YoJoseParra"
