param,paramcd,job,aval,avalu,srcdom,paramtyp
Romania,MIN,Data Analyst,44496,,DATA JOBS,
Spain,MIN,Data Analyst,52544,,DATA JOBS,
Sweden,MIN,Data Analyst,46350,,DATA JOBS,
,MIN,Data Analyst,51975,,DATA JOBS,MIN COUNTRY AVG
Belgium,MEDIAN,Data Analyst,80297,,DATA JOBS,
Denmark,MEDIAN,Data Analyst,91773,,DATA JOBS,
Finland,MEDIAN,Data Analyst,108819,,DATA JOBS,
France,MEDIAN,Data Analyst,71250,,DATA JOBS,
Germany,MEDIAN,Data Analyst,106862,,DATA JOBS,
Greece,MEDIAN,Data Analyst,102485,,DATA JOBS,
Hungary,MEDIAN,Data Analyst,83275,,DATA JOBS,
Ireland,MEDIAN,Data Analyst,101455,,DATA JOBS,
Italy,MEDIAN,Data Analyst,54604,,DATA JOBS,
Netherlands,MEDIAN,Data Analyst,96667,,DATA JOBS,
Poland,MEDIAN,Data Analyst,91773,,DATA JOBS,
Portugal,MEDIAN,Data Analyst,91773,,DATA JOBS,
Romania,MEDIAN,Data Analyst,75087,,DATA JOBS,
Spain,MEDIAN,Data Analyst,94736,,DATA JOBS,
Sweden,MEDIAN,Data Analyst,108819,,DATA JOBS,
,MEDIAN,Data Analyst,90645,,DATA JOBS,MEDIAN COUNTRY AVG
Belgium,MEAN,Data Analyst,99287,,DATA JOBS,
Denmark,MEAN,Data Analyst,81761,,DATA JOBS,
Finland,MEAN,Data Analyst,111353,,DATA JOBS,
France,MEAN,Data Analyst,84022,,DATA JOBS,
Germany,MEAN,Data Analyst,104609,,DATA JOBS,
Greece,MEAN,Data Analyst,115033,,DATA JOBS,
Hungary,MEAN,Data Analyst,90438,,DATA JOBS,
Ireland,MEAN,Data Analyst,106422,,DATA JOBS,
Italy,MEAN,Data Analyst,76018,,DATA JOBS,
Netherlands,MEAN,Data Analyst,101226,,DATA JOBS,
Poland,MEAN,Data Analyst,90130,,DATA JOBS,
Portugal,MEAN,Data Analyst,96831,,DATA JOBS,
Romania,MEAN,Data Analyst,76552,,DATA JOBS,
Spain,MEAN,Data Analyst,94422,,DATA JOBS,
Sweden,MEAN,Data Analyst,100933,,DATA JOBS,
,MEAN,Data Analyst,95269,,DATA JOBS,MEAN COUNTRY AVG
Belgium,MAX,Data Analyst,169950,,DATA JOBS,
Denmark,MAX,Data Analyst,91773,,DATA JOBS,
Finland,MAX,Data Analyst,169950,,DATA JOBS,
France,MAX,Data Analyst,206000,,DATA JOBS,
Germany,MAX,Data Analyst,206000,,DATA JOBS,
Greece,MAX,Data Analyst,206000,,DATA JOBS,
Hungary,MAX,Data Analyst,159650,,DATA JOBS,
Ireland,MAX,Data Analyst,200335,,DATA JOBS,
Italy,MAX,Data Analyst,114510,,DATA JOBS,
Netherlands,MAX,Data Analyst,182601,,DATA JOBS,
Poland,MAX,Data Analyst,169950,,DATA JOBS,
Portugal,MAX,Data Analyst,169950,,DATA JOBS,
Romania,MAX,Data Analyst,112393,,DATA JOBS,
Spain,MAX,Data Analyst,159650,,DATA JOBS,
Sweden,MAX,Data Analyst,121684,,DATA JOBS,
,MAX,Data Analyst,162693,,DATA JOBS,MAX COUNTRY AVG
Belgium,STD,Data Analyst,46066,,DATA JOBS,
Denmark,STD,Data Analyst,14924,,DATA JOBS,
Finland,STD,Data Analyst,40128,,DATA JOBS,
France,STD,Data Analyst,34161,,DATA JOBS,
Germany,STD,Data Analyst,41485,,DATA JOBS,
Greece,STD,Data Analyst,41499,,DATA JOBS,
Hungary,STD,Data Analyst,32702,,DATA JOBS,
Ireland,STD,Data Analyst,40409,,DATA JOBS,
Italy,STD,Data Analyst,27551,,DATA JOBS,
Netherlands,STD,Data Analyst,34295,,DATA JOBS,
Poland,STD,Data Analyst,30773,,DATA JOBS,
Portugal,STD,Data Analyst,31436,,DATA JOBS,
Romania,STD,Data Analyst,25376,,DATA JOBS,
Spain,STD,Data Analyst,24423,,DATA JOBS,
Sweden,STD,Data Analyst,22869,,DATA JOBS,
,STD,Data Analyst,32540,,DATA JOBS,STD COUNTRY AVG
Belgium,N,Data Analyst,20,,DATA JOBS,
Denmark,N,Data Analyst,5,,DATA JOBS,
Finland,N,Data Analyst,5,,DATA JOBS,
France,N,Data Analyst,50,,DATA JOBS,
Germany,N,Data Analyst,48,,DATA JOBS,
Greece,N,Data Analyst,16,,DATA JOBS,
Hungary,N,Data Analyst,18,,DATA JOBS,
Ireland,N,Data Analyst,19,,DATA JOBS,
Italy,N,Data Analyst,11,,DATA JOBS,
Netherlands,N,Data Analyst,20,,DATA JOBS,
Poland,N,Data Analyst,43,,DATA JOBS,
Portugal,N,Data Analyst,37,,DATA JOBS,
Romania,N,Data Analyst,12,,DATA JOBS,
Spain,N,Data Analyst,30,,DATA JOBS,
Sweden,N,Data Analyst,9,,DATA JOBS,
,N,Data Analyst,343,,DATA JOBS,N OVERALL
Belgium,MIN,Data Engineer,58401,,DATA JOBS,
Denmark,MIN,Data Engineer,99676,,DATA JOBS,
Finland,MIN,Data Engineer,91773,,DATA JOBS,
France,MIN,Data Engineer,46350,,DATA JOBS,
Germany,MIN,Data Engineer,58401,,DATA JOBS,
Greece,MIN,Data Engineer,46350,,DATA JOBS,
Hungary,MIN,Data Engineer,99676,,DATA JOBS,
Ireland,MIN,Data Engineer,91773,,DATA JOBS,
Italy,MIN,Data Engineer,91773,,DATA JOBS,
Netherlands,MIN,Data Engineer,91773,,DATA JOBS,
Poland,MIN,Data Engineer,46350,,DATA JOBS,
Portugal,MIN,Data Engineer,83275,,DATA JOBS,
Romania,MIN,Data Engineer,46350,,DATA JOBS,
Spain,MIN,Data Engineer,58195,,DATA JOBS,
Sweden,MIN,Data Engineer,61800,,DATA JOBS,
,MIN,Data Engineer,71461,,DATA JOBS,MIN COUNTRY AVG
Belgium,MEDIAN,Data Engineer,101250,,DATA JOBS,
Denmark,MEDIAN,Data Engineer,125800,,DATA JOBS,
Finland,MEDIAN,Data Engineer,99676,,DATA JOBS,
France,MEDIAN,Data Engineer,101250,,DATA JOBS,
Germany,MEDIAN,Data Engineer,151925,,DATA JOBS,
Greece,MEDIAN,Data Engineer,99676,,DATA JOBS,
Hungary,MEDIAN,Data Engineer,151925,,DATA JOBS,
Ireland,MEDIAN,Data Engineer,151925,,DATA JOBS,
Italy,MEDIAN,Data Engineer,100367,,DATA JOBS,
Netherlands,MEDIAN,Data Engineer,100367,,DATA JOBS,
Poland,MEDIAN,Data Engineer,137505,,DATA JOBS,
Portugal,MEDIAN,Data Engineer,129563,,DATA JOBS,
Romania,MEDIAN,Data Engineer,100799,,DATA JOBS,
Spain,MEDIAN,Data Engineer,136990,,DATA JOBS,
Sweden,MEDIAN,Data Engineer,137886,,DATA JOBS,
,MEDIAN,Data Engineer,121793,,DATA JOBS,MEDIAN COUNTRY AVG
Belgium,MEAN,Data Engineer,110675,,DATA JOBS,
Denmark,MEAN,Data Engineer,125800,,DATA JOBS,
Finland,MEAN,Data Engineer,96829,,DATA JOBS,
France,MEAN,Data Engineer,119210,,DATA JOBS,
Germany,MEAN,Data Engineer,134184,,DATA JOBS,
Greece,MEAN,Data Engineer,100228,,DATA JOBS,
Hungary,MEAN,Data Engineer,136830,,DATA JOBS,
Ireland,MEAN,Data Engineer,133707,,DATA JOBS,
Italy,MEAN,Data Engineer,114987,,DATA JOBS,
Netherlands,MEAN,Data Engineer,110828,,DATA JOBS,
Poland,MEAN,Data Engineer,121340,,DATA JOBS,
Portugal,MEAN,Data Engineer,125328,,DATA JOBS,
Romania,MEAN,Data Engineer,106303,,DATA JOBS,
Spain,MEAN,Data Engineer,120279,,DATA JOBS,
Sweden,MEAN,Data Engineer,136364,,DATA JOBS,
,MEAN,Data Engineer,119526,,DATA JOBS,MEAN COUNTRY AVG
Belgium,MAX,Data Engineer,151925,,DATA JOBS,
Denmark,MAX,Data Engineer,151925,,DATA JOBS,
Finland,MAX,Data Engineer,101250,,DATA JOBS,
France,MAX,Data Engineer,256470,,DATA JOBS,
Germany,MAX,Data Engineer,206000,,DATA JOBS,
Greece,MAX,Data Engineer,151925,,DATA JOBS,
Hungary,MAX,Data Engineer,151925,,DATA JOBS,
Ireland,MAX,Data Engineer,151925,,DATA JOBS,
Italy,MAX,Data Engineer,158620,,DATA JOBS,
Netherlands,MAX,Data Engineer,180250,,DATA JOBS,
Poland,MAX,Data Engineer,169435,,DATA JOBS,
Portugal,MAX,Data Engineer,158105,,DATA JOBS,
Romania,MAX,Data Engineer,151925,,DATA JOBS,
Spain,MAX,Data Engineer,169950,,DATA JOBS,
Sweden,MAX,Data Engineer,256470,,DATA JOBS,
,MAX,Data Engineer,171206,,DATA JOBS,MAX COUNTRY AVG
Belgium,STD,Data Engineer,30231,,DATA JOBS,
Denmark,STD,Data Engineer,36945,,DATA JOBS,
Finland,STD,Data Engineer,4660,,DATA JOBS,
France,STD,Data Engineer,34718,,DATA JOBS,
Germany,STD,Data Engineer,39982,,DATA JOBS,
Greece,STD,Data Engineer,33161,,DATA JOBS,
Hungary,STD,Data Engineer,21557,,DATA JOBS,
Ireland,STD,Data Engineer,27430,,DATA JOBS,
Italy,STD,Data Engineer,26174,,DATA JOBS,
Netherlands,STD,Data Engineer,25754,,DATA JOBS,
Poland,STD,Data Engineer,40993,,DATA JOBS,
Portugal,STD,Data Engineer,27454,,DATA JOBS,
Romania,STD,Data Engineer,36884,,DATA JOBS,
Spain,STD,Data Engineer,35158,,DATA JOBS,
Sweden,STD,Data Engineer,58181,,DATA JOBS,
,STD,Data Engineer,31952,,DATA JOBS,STD COUNTRY AVG
Belgium,N,Data Engineer,11,,DATA JOBS,
Denmark,N,Data Engineer,2,,DATA JOBS,
Finland,N,Data Engineer,5,,DATA JOBS,
France,N,Data Engineer,62,,DATA JOBS,
Germany,N,Data Engineer,39,,DATA JOBS,
Greece,N,Data Engineer,24,,DATA JOBS,
Hungary,N,Data Engineer,13,,DATA JOBS,
Ireland,N,Data Engineer,9,,DATA JOBS,
Italy,N,Data Engineer,12,,DATA JOBS,
Netherlands,N,Data Engineer,23,,DATA JOBS,
Poland,N,Data Engineer,46,,DATA JOBS,
Portugal,N,Data Engineer,30,,DATA JOBS,
Romania,N,Data Engineer,6,,DATA JOBS,
Spain,N,Data Engineer,35,,DATA JOBS,
Sweden,N,Data Engineer,8,,DATA JOBS,
,N,Data Engineer,325,,DATA JOBS,N OVERALL
Belgium,MIN,Data Scientist,58401,,DATA JOBS,
Denmark,MIN,Data Scientist,58401,,DATA JOBS,
Finland,MIN,Data Scientist,83275,,DATA JOBS,
France,MIN,Data Scientist,51912,,DATA JOBS,
Germany,MIN,Data Scientist,58401,,DATA JOBS,
Greece,MIN,Data Scientist,52600,,DATA JOBS,
Hungary,MIN,Data Scientist,58401,,DATA JOBS,
Ireland,MIN,Data Scientist,55018,,DATA JOBS,
Italy,MIN,Data Scientist,58401,,DATA JOBS,
Netherlands,MIN,Data Scientist,91773,,DATA JOBS,
Poland,MIN,Data Scientist,44496,,DATA JOBS,
Portugal,MIN,Data Scientist,72061,,DATA JOBS,
Romania,MIN,Data Scientist,58401,,DATA JOBS,
Spain,MIN,Data Scientist,58401,,DATA JOBS,
Sweden,MIN,Data Scientist,83430,,DATA JOBS,
,MIN,Data Scientist,62891,,DATA JOBS,MIN COUNTRY AVG
Belgium,MEDIAN,Data Scientist,126999,,DATA JOBS,
Denmark,MEDIAN,Data Scientist,112785,,DATA JOBS,
Finland,MEDIAN,Data Scientist,118740,,DATA JOBS,
France,MEDIAN,Data Scientist,90771,,DATA JOBS,
Germany,MEDIAN,Data Scientist,135506,,DATA JOBS,
Greece,MEDIAN,Data Scientist,92581,,DATA JOBS,
Hungary,MEDIAN,Data Scientist,91773,,DATA JOBS,
Ireland,MEDIAN,Data Scientist,105111,,DATA JOBS,
Italy,MEDIAN,Data Scientist,91272,,DATA JOBS,
Netherlands,MEDIAN,Data Scientist,162225,,DATA JOBS,
Poland,MEDIAN,Data Scientist,135823,,DATA JOBS,
Portugal,MEDIAN,Data Scientist,157075,,DATA JOBS,
Romania,MEDIAN,Data Scientist,124630,,DATA JOBS,
Spain,MEDIAN,Data Scientist,90771,,DATA JOBS,
Sweden,MEDIAN,Data Scientist,162225,,DATA JOBS,
,MEDIAN,Data Scientist,119886,,DATA JOBS,MEDIAN COUNTRY AVG
Belgium,MEAN,Data Scientist,122577,,DATA JOBS,
Denmark,MEAN,Data Scientist,116342,,DATA JOBS,
Finland,MEAN,Data Scientist,120745,,DATA JOBS,
France,MEAN,Data Scientist,102076,,DATA JOBS,
Germany,MEAN,Data Scientist,120778,,DATA JOBS,
Greece,MEAN,Data Scientist,100451,,DATA JOBS,
Hungary,MEAN,Data Scientist,100688,,DATA JOBS,
Ireland,MEAN,Data Scientist,114941,,DATA JOBS,
Italy,MEAN,Data Scientist,99787,,DATA JOBS,
Netherlands,MEAN,Data Scientist,139444,,DATA JOBS,
Poland,MEAN,Data Scientist,124071,,DATA JOBS,
Portugal,MEAN,Data Scientist,136835,,DATA JOBS,
Romania,MEAN,Data Scientist,112843,,DATA JOBS,
Spain,MEAN,Data Scientist,95965,,DATA JOBS,
Sweden,MEAN,Data Scientist,137456,,DATA JOBS,
,MEAN,Data Scientist,116333,,DATA JOBS,MEAN COUNTRY AVG
Belgium,MAX,Data Scientist,162225,,DATA JOBS,
Denmark,MAX,Data Scientist,171412,,DATA JOBS,
Finland,MAX,Data Scientist,162225,,DATA JOBS,
France,MAX,Data Scientist,171412,,DATA JOBS,
Germany,MAX,Data Scientist,197760,,DATA JOBS,
Greece,MAX,Data Scientist,176254,,DATA JOBS,
Hungary,MAX,Data Scientist,162225,,DATA JOBS,
Ireland,MAX,Data Scientist,171412,,DATA JOBS,
Italy,MAX,Data Scientist,162225,,DATA JOBS,
Netherlands,MAX,Data Scientist,175692,,DATA JOBS,
Poland,MAX,Data Scientist,192535,,DATA JOBS,
Portugal,MAX,Data Scientist,171412,,DATA JOBS,
Romania,MAX,Data Scientist,151925,,DATA JOBS,
Spain,MAX,Data Scientist,169950,,DATA JOBS,
Sweden,MAX,Data Scientist,162225,,DATA JOBS,
,MAX,Data Scientist,170726,,DATA JOBS,MAX COUNTRY AVG
Belgium,STD,Data Scientist,43717,,DATA JOBS,
Denmark,STD,Data Scientist,38069,,DATA JOBS,
Finland,STD,Data Scientist,32677,,DATA JOBS,
France,STD,Data Scientist,40991,,DATA JOBS,
Germany,STD,Data Scientist,47769,,DATA JOBS,
Greece,STD,Data Scientist,31728,,DATA JOBS,
Hungary,STD,Data Scientist,38032,,DATA JOBS,
Ireland,STD,Data Scientist,45052,,DATA JOBS,
Italy,STD,Data Scientist,38450,,DATA JOBS,
Netherlands,STD,Data Scientist,32089,,DATA JOBS,
Poland,STD,Data Scientist,40280,,DATA JOBS,
Portugal,STD,Data Scientist,34230,,DATA JOBS,
Romania,STD,Data Scientist,37560,,DATA JOBS,
Spain,STD,Data Scientist,32956,,DATA JOBS,
Sweden,STD,Data Scientist,34917,,DATA JOBS,
,STD,Data Scientist,37901,,DATA JOBS,STD COUNTRY AVG
Belgium,N,Data Scientist,8,,DATA JOBS,
Denmark,N,Data Scientist,7,,DATA JOBS,
Finland,N,Data Scientist,4,,DATA JOBS,
France,N,Data Scientist,57,,DATA JOBS,
Germany,N,Data Scientist,41,,DATA JOBS,
Greece,N,Data Scientist,12,,DATA JOBS,
Hungary,N,Data Scientist,13,,DATA JOBS,
Ireland,N,Data Scientist,6,,DATA JOBS,
Italy,N,Data Scientist,12,,DATA JOBS,
Netherlands,N,Data Scientist,17,,DATA JOBS,
Poland,N,Data Scientist,29,,DATA JOBS,
Portugal,N,Data Scientist,22,,DATA JOBS,
Romania,N,Data Scientist,7,,DATA JOBS,
Spain,N,Data Scientist,20,,DATA JOBS,
Sweden,N,Data Scientist,7,,DATA JOBS,
,N,Data Scientist,262,,DATA JOBS,N OVERALL
Belgium,MIN,Machine Learning Engineer,75087,,DATA JOBS,
Denmark,MIN,Machine Learning Engineer,108459,,DATA JOBS,
Finland,MIN,Machine Learning Engineer,91773,,DATA JOBS,
France,MIN,Machine Learning Engineer,58401,,DATA JOBS,
Germany,MIN,Machine Learning Engineer,45751,,DATA JOBS,
Greece,MIN,Machine Learning Engineer,75087,,DATA JOBS,
Hungary,MIN,Machine Learning Engineer,58401,,DATA JOBS,
Ireland,MIN,Machine Learning Engineer,75087,,DATA JOBS,
Italy,MIN,Machine Learning Engineer,75087,,DATA JOBS,
Netherlands,MIN,Machine Learning Engineer,71070,,DATA JOBS,
Poland,MIN,Machine Learning Engineer,58401,,DATA JOBS,
Portugal,MIN,Machine Learning Engineer,75087,,DATA JOBS,
Romania,MIN,Machine Learning Engineer,91773,,DATA JOBS,
Spain,MIN,Machine Learning Engineer,44496,,DATA JOBS,
Sweden,MIN,Machine Learning Engineer,83275,,DATA JOBS,
,MIN,Machine Learning Engineer,72482,,DATA JOBS,MIN COUNTRY AVG
Belgium,MEDIAN,Machine Learning Engineer,91773,,DATA JOBS,
Denmark,MEDIAN,Machine Learning Engineer,139719,,DATA JOBS,
Finland,MEDIAN,Machine Learning Engineer,158105,,DATA JOBS,
France,MEDIAN,Machine Learning Engineer,83275,,DATA JOBS,
Germany,MEDIAN,Machine Learning Engineer,91773,,DATA JOBS,
Greece,MEDIAN,Machine Learning Engineer,104059,,DATA JOBS,
Hungary,MEDIAN,Machine Learning Engineer,83275,,DATA JOBS,
Ireland,MEDIAN,Machine Learning Engineer,170980,,DATA JOBS,
Italy,MEDIAN,Machine Learning Engineer,91773,,DATA JOBS,
Netherlands,MEDIAN,Machine Learning Engineer,126484,,DATA JOBS,
Poland,MEDIAN,Machine Learning Engineer,91773,,DATA JOBS,
Portugal,MEDIAN,Machine Learning Engineer,170980,,DATA JOBS,
Romania,MEDIAN,Machine Learning Engineer,170980,,DATA JOBS,
Spain,MEDIAN,Machine Learning Engineer,104059,,DATA JOBS,
Sweden,MEDIAN,Machine Learning Engineer,145230,,DATA JOBS,
,MEDIAN,Machine Learning Engineer,121616,,DATA JOBS,MEDIAN COUNTRY AVG
Belgium,MEAN,Machine Learning Engineer,86377,,DATA JOBS,
Denmark,MEAN,Machine Learning Engineer,139719,,DATA JOBS,
Finland,MEAN,Machine Learning Engineer,149762,,DATA JOBS,
France,MEAN,Machine Learning Engineer,93857,,DATA JOBS,
Germany,MEAN,Machine Learning Engineer,117299,,DATA JOBS,
Greece,MEAN,Machine Learning Engineer,118965,,DATA JOBS,
Hungary,MEAN,Machine Learning Engineer,112424,,DATA JOBS,
Ireland,MEAN,Machine Learning Engineer,139441,,DATA JOBS,
Italy,MEAN,Machine Learning Engineer,91556,,DATA JOBS,
Netherlands,MEAN,Machine Learning Engineer,130333,,DATA JOBS,
Poland,MEAN,Machine Learning Engineer,115062,,DATA JOBS,
Portugal,MEAN,Machine Learning Engineer,145196,,DATA JOBS,
Romania,MEAN,Machine Learning Engineer,144577,,DATA JOBS,
Spain,MEAN,Machine Learning Engineer,116342,,DATA JOBS,
Sweden,MEAN,Machine Learning Engineer,133161,,DATA JOBS,
,MEAN,Machine Learning Engineer,122271,,DATA JOBS,MEAN COUNTRY AVG
Belgium,MAX,Machine Learning Engineer,104059,,DATA JOBS,
Denmark,MAX,Machine Learning Engineer,170980,,DATA JOBS,
Finland,MAX,Machine Learning Engineer,191065,,DATA JOBS,
France,MAX,Machine Learning Engineer,170980,,DATA JOBS,
Germany,MAX,Machine Learning Engineer,231235,,DATA JOBS,
Greece,MAX,Machine Learning Engineer,182601,,DATA JOBS,
Hungary,MAX,Machine Learning Engineer,191065,,DATA JOBS,
Ireland,MAX,Machine Learning Engineer,170980,,DATA JOBS,
Italy,MAX,Machine Learning Engineer,107808,,DATA JOBS,
Netherlands,MAX,Machine Learning Engineer,231750,,DATA JOBS,
Poland,MAX,Machine Learning Engineer,191580,,DATA JOBS,
Portugal,MAX,Machine Learning Engineer,195185,,DATA JOBS,
Romania,MAX,Machine Learning Engineer,170980,,DATA JOBS,
Spain,MAX,Machine Learning Engineer,231750,,DATA JOBS,
Sweden,MAX,Machine Learning Engineer,170980,,DATA JOBS,
,MAX,Machine Learning Engineer,180866,,DATA JOBS,MAX COUNTRY AVG
Belgium,STD,Machine Learning Engineer,11419,,DATA JOBS,
Denmark,STD,Machine Learning Engineer,44209,,DATA JOBS,
Finland,STD,Machine Learning Engineer,42970,,DATA JOBS,
France,STD,Machine Learning Engineer,37705,,DATA JOBS,
Germany,STD,Machine Learning Engineer,53358,,DATA JOBS,
Greece,STD,Machine Learning Engineer,37173,,DATA JOBS,
