Skills,Country,n,mean,Job
plotly,Poland,2.0,162.0,Data Scientist
plotly,Poland,2.0,162.0,Senior Data Scientist
plotly,Netherlands,1.0,162.0,Data Scientist
numpy,Belgium,1.0,162.0,Data Scientist
nltk,Germany,1.0,162.0,Senior Data Scientist
macos,Poland,1.0,162.0,Data Scientist
looker,Ireland,1.0,162.0,Senior Data Scientist
linux,Portugal,1.0,162.0,Data Scientist
kotlin,Germany,1.0,162.0,Data Scientist
keras,Belgium,1.0,162.0,Data Scientist
jupyter,Netherlands,1.0,162.0,Senior Data Scientist
jupyter,Belgium,1.0,162.0,Data Scientist
jenkins,Finland,1.0,162.0,Senior Data Scientist
javascript,Belgium,1.0,162.0,Data Scientist
html,Belgium,1.0,162.0,Data Scientist
ggplot2,Poland,2.0,162.0,Data Scientist
ggplot2,Poland,2.0,162.0,Senior Data Scientist
dplyr,Italy,1.0,162.0,Data Scientist
django,Hungary,1.0,162.0,Data Scientist
css,Belgium,1.0,162.0,Data Scientist
cassandra,Portugal,1.0,162.0,Data Scientist
c,Hungary,1.0,162.0,Data Scientist
c,Belgium,1.0,162.0,Data Scientist
nosql,Germany,3.0,162.0,Data Engineer
nosql,Germany,3.0,162.0,Senior Data Scientist
nosql,Germany,3.0,162.0,Data Analyst
atlassian,Ireland,3.0,162.0,Data Engineer
atlassian,Ireland,3.0,162.0,Senior Data Scientist
atlassian,Ireland,3.0,162.0,Machine Learning Engineer
jenkins,Denmark,2.0,161.0,Data Engineer
jenkins,Denmark,2.0,161.0,Machine Learning Engineer
docker,Denmark,2.0,161.0,Senior Data Engineer
docker,Denmark,2.0,161.0,Machine Learning Engineer
airflow,Denmark,2.0,161.0,Senior Data Engineer
airflow,Denmark,2.0,161.0,Machine Learning Engineer
ruby,Spain,2.0,161.0,Software Engineer
redshift,Poland,4.0,161.0,Business Analyst
redshift,Poland,4.0,161.0,Data Scientist
redshift,Poland,4.0,161.0,Senior Data Scientist
bitbucket,Spain,1.0,161.0,Data Engineer
atlassian,Spain,1.0,161.0,Software Engineer
gdpr,Portugal,2.0,161.0,Data Analyst
gdpr,Portugal,2.0,161.0,Data Engineer
unix,Ireland,1.0,161.0,Senior Data Engineer
perl,Ireland,1.0,161.0,Senior Data Engineer
keras,Portugal,3.0,160.0,Data Scientist
keras,Portugal,3.0,160.0,Machine Learning Engineer
snowflake,Hungary,1.0,160.0,Data Analyst
smartsheet,Spain,1.0,160.0,Data Analyst
scikit-learn,Germany,5.0,158.0,Senior Data Scientist
scikit-learn,Germany,5.0,158.0,Senior Data Engineer
scikit-learn,Germany,5.0,158.0,Data Scientist
linux,Ireland,4.0,158.0,Senior Data Scientist
linux,Ireland,4.0,158.0,Data Engineer
linux,Ireland,4.0,158.0,Senior Data Engineer
linux,Ireland,4.0,158.0,Data Analyst
pytorch,Denmark,2.0,158.0,Data Scientist
pytorch,Denmark,2.0,158.0,Machine Learning Engineer
github,Denmark,2.0,158.0,Data Scientist
github,Denmark,2.0,158.0,Machine Learning Engineer
hadoop,Netherlands,3.0,158.0,Data Analyst
hadoop,Netherlands,3.0,158.0,Data Scientist
sql server,Spain,2.0,157.0,Software Engineer
sql server,Spain,2.0,157.0,Data Engineer
flow,Belgium,4.0,156.0,Data Analyst
jenkins,Portugal,2.0,154.0,Data Scientist
jenkins,Portugal,2.0,154.0,Machine Learning Engineer
tensorflow,Germany,9.0,153.0,Data Scientist
tensorflow,Germany,9.0,153.0,Machine Learning Engineer
tensorflow,Germany,9.0,153.0,Senior Data Scientist
numpy,France,6.0,153.0,Data Engineer
numpy,France,6.0,153.0,Data Scientist
numpy,France,6.0,153.0,Senior Data Scientist
pyspark,Greece,4.0,152.0,Senior Data Scientist
pyspark,Greece,4.0,152.0,Machine Learning Engineer
spark,Sweden,8.0,152.0,Senior Data Engineer
spark,Sweden,8.0,152.0,Data Engineer
spark,Sweden,8.0,152.0,Senior Data Scientist
unix,Hungary,2.0,152.0,Data Engineer
terraform,Denmark,1.0,152.0,Senior Data Engineer
t-sql,Spain,1.0,152.0,Data Engineer
t-sql,Ireland,1.0,152.0,Data Engineer
t-sql,Hungary,1.0,152.0,Data Engineer
t-sql,Belgium,1.0,152.0,Data Engineer
swift,Sweden,1.0,152.0,Senior Data Engineer
ssrs,Spain,1.0,152.0,Data Engineer
ssis,Spain,1.0,152.0,Data Engineer
ssis,Ireland,1.0,152.0,Data Engineer
splunk,Poland,2.0,152.0,Data Engineer
splunk,Belgium,1.0,152.0,Data Engineer
spark,Denmark,1.0,152.0,Data Engineer
slack,Ireland,2.0,152.0,Data Engineer
slack,Ireland,2.0,152.0,Data Analyst
shell,Hungary,2.0,152.0,Data Engineer
sass,Ireland,1.0,152.0,Senior Data Engineer
ruby,Ireland,2.0,152.0,Senior Data Engineer
redshift,Italy,1.0,152.0,Data Engineer
redhat,Belgium,1.0,152.0,Data Engineer
react,Ireland,1.0,152.0,Data Engineer
php,Belgium,1.0,152.0,Data Engineer
phoenix,Poland,2.0,152.0,Data Engineer
perl,Netherlands,1.0,152.0,Data Engineer
oracle,Denmark,1.0,152.0,Data Engineer
mysql,Netherlands,1.0,152.0,Data Engineer
mysql,Germany,1.0,152.0,Data Engineer
linux,Hungary,2.0,152.0,Data Engineer
kubernetes,Sweden,2.0,152.0,Data Engineer
kubernetes,Sweden,2.0,152.0,Senior Data Engineer
kubernetes,Denmark,1.0,152.0,Senior Data Engineer
kafka,Ireland,2.0,152.0,Senior Data Engineer
jquery,Spain,1.0,152.0,Data Scientist
jquery,Romania,1.0,152.0,Data Scientist
html,Romania,1.0,152.0,Data Scientist
github,Sweden,1.0,152.0,Senior Data Engineer
github,Ireland,1.0,152.0,Data Engineer
flask,Italy,1.0,152.0,Data Engineer
flask,Ireland,1.0,152.0,Senior Data Engineer
dynamodb,Germany,1.0,152.0,Data Engineer
dynamodb,France,2.0,152.0,Data Engineer
dax,France,1.0,152.0,Data Engineer
css,Romania,1.0,152.0,Data Scientist
couchdb,France,1.0,152.0,Data Engineer
confluence,Portugal,1.0,152.0,Senior Data Engineer
confluence,Ireland,1.0,152.0,Data Analyst
cassandra,Germany,1.0,152.0,Senior Data Engineer
c#,Sweden,1.0,152.0,Data Engineer
bash,Portugal,1.0,152.0,Senior Data Engineer
aurora,Ireland,1.0,152.0,Senior Data Engineer
asp.net,Hungary,1.0,152.0,Senior Data Engineer
asana,Ireland,1.0,152.0,Data Analyst
ansible,Belgium,1.0,152.0,Data Engineer
kafka,Germany,16.0,152.0,Senior Data Engineer
kafka,Germany,16.0,152.0,Senior Data Scientist
kafka,Germany,16.0,152.0,Data Engineer
kafka,Germany,16.0,152.0,Machine Learning Engineer
kafka,Germany,16.0,152.0,Data Scientist
kafka,Germany,16.0,152.0,Data Analyst
postgresql,Germany,7.0,152.0,Machine Learning Engineer
postgresql,Germany,7.0,152.0,Senior Data Engineer
postgresql,Germany,7.0,152.0,Data Engineer
postgresql,Germany,7.0,152.0,Senior Data Scientist
nosql,Ireland,6.0,151.0,Data Scientist
nosql,Ireland,6.0,151.0,Senior Data Engineer
nosql,Ireland,6.0,151.0,Senior Data Scientist
nosql,Ireland,6.0,151.0,Data Engineer
nosql,Ireland,6.0,151.0,Data Analyst
aws,Ireland,16.0,150.0,Data Engineer
aws,Ireland,16.0,150.0,Machine Learning Engineer
aws,Ireland,16.0,150.0,Senior Data Engineer
aws,Ireland,16.0,150.0,Senior Data Scientist
aws,Ireland,16.0,150.0,Data Scientist
aws,Ireland,16.0,150.0,Senior Data Analyst
aws,Ireland,16.0,150.0,Data Analyst
gcp,Ireland,7.0,150.0,Machine Learning Engineer
gcp,Ireland,7.0,150.0,Software Engineer
gcp,Ireland,7.0,150.0,Senior Data Scientist
gcp,Ireland,7.0,150.0,Senior Data Analyst
gcp,Ireland,7.0,150.0,Data Analyst
gcp,Ireland,7.0,150.0,Senior Data Engineer
oracle,Romania,5.0,149.0,Software Engineer
oracle,Romania,5.0,149.0,Data Engineer
oracle,Romania,5.0,149.0,Data Scientist
oracle,Romania,5.0,149.0,Data Analyst
bigquery,Germany,10.0,149.0,Senior Data Scientist
bigquery,Germany,10.0,149.0,Data Engineer
bigquery,Germany,10.0,149.0,Senior Data Engineer
bigquery,Germany,10.0,149.0,Senior Data Analyst
bigquery,Germany,10.0,149.0,Data Analyst
c++,Romania,3.0,148.0,Software Engineer
c++,Romania,3.0,148.0,Senior Data Analyst
c#,Netherlands,3.0,148.0,Data Engineer
c#,Netherlands,3.0,148.0,Data Analyst
c#,Netherlands,3.0,148.0,Software Engineer
matplotlib,France,5.0,148.0,Data Scientist
matplotlib,France,5.0,148.0,Senior Data Scientist
power bi,Romania,3.0,147.0,Data Engineer
power bi,Romania,3.0,147.0,Data Scientist
airflow,Ireland,7.0,147.0,Machine Learning Engineer
airflow,Ireland,7.0,147.0,Data Engineer
airflow,Ireland,7.0,147.0,Senior Data Engineer
airflow,Ireland,7.0,147.0,Data Analyst
unix,France,3.0,147.0,Senior Data Engineer
unix,France,3.0,147.0,Data Engineer
github,Germany,10.0,147.0,Data Engineer
github,Germany,10.0,147.0,Data Analyst
github,Germany,10.0,147.0,Data Scientist
github,Germany,10.0,147.0,Machine Learning Engineer
github,Germany,10.0,147.0,Cloud Engineer
ssis,Poland,5.0,147.0,Software Engineer
ssis,Poland,5.0,147.0,Senior Data Engineer
ssis,Poland,5.0,147.0,Data Engineer
matplotlib,Spain,5.0,147.0,Data Analyst
matplotlib,Spain,5.0,147.0,Senior Data Scientist
matplotlib,Spain,5.0,147.0,Machine Learning Engineer
go,Denmark,4.0,147.0,Senior Data Engineer
go,Denmark,4.0,147.0,Data Analyst
go,Denmark,4.0,147.0,Data Scientist
go,Denmark,4.0,147.0,Machine Learning Engineer
c++,Greece,3.0,146.0,Data Engineer
c++,Greece,3.0,146.0,Machine Learning Engineer
snowflake,Netherlands,4.0,146.0,Senior Data Engineer
snowflake,Netherlands,4.0,146.0,Data Scientist
snowflake,Netherlands,4.0,146.0,Data Engineer
hadoop,Ireland,7.0,145.0,Data Scientist
hadoop,Ireland,7.0,145.0,Data Engineer
hadoop,Ireland,7.0,145.0,Senior Data Scientist
hadoop,Ireland,7.0,145.0,Senior Data Engineer
react,Finland,1.0,145.0,Machine Learning Engineer
pandas,Finland,1.0,145.0,Machine Learning Engineer
numpy,Finland,1.0,145.0,Machine Learning Engineer
fastapi,France,1.0,145.0,Machine Learning Engineer
spring,Greece,1.0,145.0,Data Analyst
ssis,Romania,2.0,145.0,Data Engineer
postgresql,Spain,2.0,145.0,Data Engineer
postgresql,Spain,2.0,145.0,Machine Learning Engineer
pytorch,Ireland,3.0,144.0,Machine Learning Engineer
pytorch,Ireland,3.0,144.0,Data Scientist
twilio,Germany,1.0,144.0,Data Engineer
solidity,Germany,1.0,144.0,Data Engineer
slack,Denmark,1.0,144.0,Data Scientist
pandas,Denmark,1.0,144.0,Data Scientist
numpy,Denmark,1.0,144.0,Data Scientist
notion,Denmark,1.0,144.0,Data Scientist
node,Germany,1.0,144.0,Data Engineer
mongodb,Denmark,2.0,144.0,Data Scientist
golang,Germany,1.0,144.0,Data Engineer
snowflake,Poland,27.0,144.0,Senior Data Engineer
snowflake,Poland,27.0,144.0,Data Scientist
snowflake,Poland,27.0,144.0,Data Engineer
snowflake,Poland,27.0,144.0,Senior Data Scientist
snowflake,Poland,27.0,144.0,Machine Learning Engineer
snowflake,Poland,27.0,144.0,Data Analyst
snowflake,Poland,27.0,144.0,Senior Data Analyst
snowflake,Poland,27.0,144.0,Cloud Engineer
pandas,Germany,12.0,144.0,Data Analyst
pandas,Germany,12.0,144.0,Senior Data Scientist
pandas,Germany,12.0,144.0,Senior Data Engineer
pandas,Germany,12.0,144.0,Data Scientist
pandas,Germany,12.0,144.0,Machine Learning Engineer
airflow,Germany,24.0,143.0,Senior Data Scientist
airflow,Germany,24.0,143.0,Data Scientist
airflow,Germany,24.0,143.0,Data Engineer
airflow,Germany,24.0,143.0,Senior Data Engineer
airflow,Germany,24.0,143.0,Machine Learning Engineer
hugging face,Hungary,3.0,143.0,Machine Learning Engineer
hugging face,Hungary,3.0,143.0,Data Analyst
hugging face,Hungary,3.0,143.0,Senior Data Scientist
jenkins,Germany,10.0,143.0,Cloud Engineer
jenkins,Germany,10.0,143.0,Data Engineer
jenkins,Germany,10.0,143.0,Data Scientist
jenkins,Germany,10.0,143.0,Machine Learning Engineer
jenkins,Germany,10.0,143.0,Senior Data Scientist
tensorflow,Spain,8.0,143.0,Machine Learning Engineer
tensorflow,Spain,8.0,143.0,Software Engineer
tensorflow,Spain,8.0,143.0,Senior Data Engineer
numpy,Spain,4.0,142.0,Data Analyst
numpy,Spain,4.0,142.0,Machine Learning Engineer
terraform,Germany,15.0,142.0,Cloud Engineer
terraform,Germany,15.0,142.0,Data Scientist
terraform,Germany,15.0,142.0,Data Engineer
terraform,Germany,15.0,142.0,Machine Learning Engineer
terraform,Germany,15.0,142.0,Senior Data Scientist
terraform,Germany,15.0,142.0,Data Analyst
snowflake,Ireland,8.0,142.0,Data Scientist
snowflake,Ireland,8.0,142.0,Data Engineer
snowflake,Ireland,8.0,142.0,Senior Data Analyst
snowflake,Ireland,8.0,142.0,Data Analyst
snowflake,Ireland,8.0,142.0,Senior Data Engineer
pytorch,Finland,2.0,141.0,Machine Learning Engineer
flow,Portugal,3.0,141.0,Data Engineer
flow,Portugal,3.0,141.0,Senior Data Scientist
spark,Ireland,8.0,141.0,Data Engineer
spark,Ireland,8.0,141.0,Senior Data Scientist
spark,Ireland,8.0,141.0,Senior Data Engineer
redshift,Denmark,3.0,141.0,Senior Data Engineer
redshift,Denmark,3.0,141.0,Data Engineer
redshift,Denmark,3.0,141.0,Machine Learning Engineer
redshift,Germany,16.0,140.0,Senior Data Engineer
redshift,Germany,16.0,140.0,Senior Data Scientist
redshift,Germany,16.0,140.0,Business Analyst
redshift,Germany,16.0,140.0,Data Engineer
redshift,Germany,16.0,140.0,Data Scientist
redshift,Germany,16.0,140.0,Senior Data Analyst
redshift,Germany,16.0,140.0,Data Analyst
redshift,Portugal,6.0,140.0,Data Engineer
pytorch,Spain,6.0,140.0,Machine Learning Engineer
pytorch,Spain,6.0,140.0,Data Scientist
pytorch,Spain,6.0,140.0,Software Engineer
pytorch,Spain,6.0,140.0,Senior Data Engineer
bigquery,Netherlands,6.0,140.0,Senior Data Engineer
bigquery,Netherlands,6.0,140.0,Data Engineer
bigquery,Netherlands,6.0,140.0,Data Scientist
pytorch,Netherlands,7.0,140.0,Machine Learning Engineer
pytorch,Netherlands,7.0,140.0,Senior Data Scientist
pytorch,Netherlands,7.0,140.0,Data Scientist
airflow,Finland,4.0,140.0,Senior Data Scientist
airflow,Finland,4.0,140.0,Senior Data Engineer
airflow,Finland,4.0,140.0,Machine Learning Engineer
pandas,Ireland,2.0,140.0,Senior Data Scientist
pandas,Ireland,2.0,140.0,Machine Learning Engineer
mysql,Poland,8.0,140.0,Data Engineer
mysql,Poland,8.0,140.0,Senior Data Engineer
mysql,Poland,8.0,140.0,Business Analyst
gdpr,Germany,5.0,140.0,Senior Data Engineer
gdpr,Germany,5.0,140.0,Senior Data Scientist
gdpr,Germany,5.0,140.0,Data Engineer
kafka,Hungary,6.0,140.0,Machine Learning Engineer
kafka,Hungary,6.0,140.0,Data Engineer
kafka,Hungary,6.0,140.0,Senior Data Engineer
kafka,Hungary,6.0,140.0,Senior Data Scientist
pandas,Spain,10.0,140.0,Data Analyst
pandas,Spain,10.0,140.0,Data Engineer
pandas,Spain,10.0,140.0,Machine Learning Engineer
pandas,Spain,10.0,140.0,Software Engineer
pandas,Spain,10.0,140.0,Senior Data Engineer
aws,Denmark,4.0,140.0,Senior Data Engineer
aws,Denmark,4.0,140.0,Data Scientist
aws,Denmark,4.0,140.0,Data Engineer
aws,Denmark,4.0,140.0,Machine Learning Engineer
jira,Germany,4.0,139.0,Data Engineer
jira,Germany,4.0,139.0,Senior Data Engineer
jira,Germany,4.0,139.0,Machine Learning Engineer
databricks,Portugal,13.0,139.0,Data Analyst
databricks,Portugal,13.0,139.0,Data Engineer
databricks,Portugal,13.0,139.0,Data Scientist
databricks,Portugal,13.0,139.0,Machine Learning Engineer
databricks,Portugal,13.0,139.0,Senior Data Engineer
scikit-learn,Portugal,7.0,139.0,Data Scientist
scikit-learn,Portugal,7.0,139.0,Data Analyst
scikit-learn,Portugal,7.0,139.0,Machine Learning Engineer
airflow,Hungary,6.0,138.0,Machine Learning Engineer
airflow,Hungary,6.0,138.0,Senior Data Analyst
airflow,Hungary,6.0,138.0,Data Engineer
airflow,Hungary,6.0,138.0,Senior Data Engineer
airflow,Hungary,6.0,138.0,Senior Data Scientist
jira,Poland,2.0,138.0,Data Analyst
jira,Poland,2.0,138.0,Senior Data Scientist
assembly,Sweden,1.0,138.0,Data Engineer
alteryx,Belgium,1.0,138.0,Data Engineer
databricks,Poland,11.0,138.0,Data Engineer
databricks,Poland,11.0,138.0,Senior Data Scientist
databricks,Poland,11.0,138.0,Data Scientist
databricks,Poland,11.0,138.0,Machine Learning Engineer
databricks,Poland,11.0,138.0,Senior Data Analyst
databricks,Poland,11.0,138.0,Senior Data Engineer
databricks,Poland,11.0,138.0,Cloud Engineer
airflow,Netherlands,9.0,138.0,Senior Data Engineer
airflow,Netherlands,9.0,138.0,Data Analyst
airflow,Netherlands,9.0,138.0,Machine Learning Engineer
airflow,Netherlands,9.0,138.0,Data Engineer
airflow,Netherlands,9.0,138.0,Data Scientist
airflow,France,30.0,138.0,Senior Data Engineer
airflow,France,30.0,138.0,Data Analyst
airflow,France,30.0,138.0,Data Engineer
airflow,France,30.0,138.0,Data Scientist
airflow,France,30.0,138.0,Senior Data Scientist
snowflake,Portugal,2.0,138.0,Data Engineer
bitbucket,Portugal,2.0,138.0,Data Engineer
bitbucket,Portugal,2.0,138.0,Senior Data Engineer
numpy,Germany,4.0,138.0,Data Analyst
numpy,Germany,4.0,138.0,Senior Data Scientist
numpy,Germany,4.0,138.0,Machine Learning Engineer
mongodb,Hungary,2.0,138.0,Data Engineer
fastapi,Hungary,1.0,138.0,Data Engineer
pyspark,Germany,10.0,137.0,Senior Data Scientist
pyspark,Germany,10.0,137.0,Senior Data Engineer
pyspark,Germany,10.0,137.0,Data Scientist
pyspark,Germany,10.0,137.0,Data Engineer
pyspark,Germany,10.0,137.0,Business Analyst
pyspark,Germany,10.0,137.0,Data Analyst
java,Sweden,5.0,137.0,Senior Data Engineer
java,Sweden,5.0,137.0,Machine Learning Engineer
java,Sweden,5.0,137.0,Data Engineer
gcp,Germany,13.0,137.0,Data Engineer
gcp,Germany,13.0,137.0,Data Analyst
gcp,Germany,13.0,137.0,Senior Data Engineer
gcp,Germany,13.0,137.0,Senior Data Scientist
mysql,Ireland,2.0,137.0,Senior Data Analyst
mysql,Ireland,2.0,137.0,Senior Data Engineer
hadoop,Sweden,2.0,137.0,Data Engineer
hadoop,Sweden,2.0,137.0,Data Analyst
snowflake,Germany,20.0,137.0,Senior Data Engineer
snowflake,Germany,20.0,137.0,Senior Data Scientist
snowflake,Germany,20.0,137.0,Data Scientist
snowflake,Germany,20.0,137.0,Data Engineer
snowflake,Germany,20.0,137.0,Senior Data Analyst
tensorflow,Netherlands,6.0,137.0,Senior Data Scientist
tensorflow,Netherlands,6.0,137.0,Machine Learning Engineer
tensorflow,Netherlands,6.0,137.0,Data Scientist
postgresql,Romania,1.0,136.0,Data Scientist
kafka,Portugal,10.0,136.0,Data Engineer
kafka,Portugal,10.0,136.0,Senior Data Engineer
kafka,Portugal,10.0,136.0,Data Scientist
kafka,Portugal,10.0,136.0,Senior Data Scientist
databricks,Germany,13.0,136.0,Senior Data Scientist
databricks,Germany,13.0,136.0,Data Engineer
databricks,Germany,13.0,136.0,Senior Data Engineer
databricks,Germany,13.0,136.0,Data Analyst
databricks,Germany,13.0,136.0,Cloud Engineer
aws,Portugal,26.0,136.0,Data Engineer
aws,Portugal,26.0,136.0,Data Scientist
aws,Portugal,26.0,136.0,Machine Learning Engineer
aws,Portugal,26.0,136.0,Senior Data Engineer
aws,Portugal,26.0,136.0,Software Engineer
azure,Ireland,13.0,136.0,Data Engineer
azure,Ireland,13.0,136.0,Data Analyst
azure,Ireland,13.0,136.0,Senior Data Scientist
azure,Ireland,13.0,136.0,Data Scientist
azure,Ireland,13.0,136.0,Senior Data Analyst
azure,Ireland,13.0,136.0,Senior Data Engineer
redis,France,3.0,136.0,Data Engineer
redis,France,3.0,136.0,Machine Learning Engineer
airflow,Portugal,14.0,136.0,Data Engineer
airflow,Portugal,14.0,136.0,Senior Data Scientist
airflow,Portugal,14.0,136.0,Senior Data Engineer
flask,Spain,2.0,136.0,Data Engineer
flask,Spain,2.0,136.0,Machine Learning Engineer
snowflake,Belgium,2.0,136.0,Data Engineer
snowflake,Belgium,2.0,136.0,Data Analyst
c++,Ireland,3.0,136.0,Senior Data Scientist
c++,Ireland,3.0,136.0,Senior Data Engineer
c++,Ireland,3.0,136.0,Machine Learning Engineer
postgresql,France,10.0,136.0,Senior Data Engineer
postgresql,France,10.0,136.0,Data Engineer
postgresql,France,10.0,136.0,Data Scientist
postgresql,France,10.0,136.0,Software Engineer
go,Italy,1.0,136.0,Data Engineer
django,Spain,1.0,136.0,Data Engineer
dax,Spain,1.0,136.0,Data Engineer
tensorflow,Ireland,4.0,135.0,Machine Learning Engineer
tensorflow,Ireland,4.0,135.0,Data Scientist
pyspark,Netherlands,8.0,135.0,Data Engineer
pyspark,Netherlands,8.0,135.0,Data Analyst
pyspark,Netherlands,8.0,135.0,Data Scientist
sql server,Ireland,6.0,135.0,Data Engineer
sql server,Ireland,6.0,135.0,Data Scientist
sql server,Ireland,6.0,135.0,Data Analyst
sql server,Ireland,6.0,135.0,Senior Data Engineer
tensorflow,Portugal,8.0,135.0,Data Scientist
tensorflow,Portugal,8.0,135.0,Machine Learning Engineer
azure,Portugal,15.0,135.0,Data Scientist
azure,Portugal,15.0,135.0,Senior Data Scientist
azure,Portugal,15.0,135.0,Data Engineer
azure,Portugal,15.0,135.0,Senior Data Engineer
azure,Portugal,15.0,135.0,Machine Learning Engineer
azure,Portugal,15.0,135.0,Data Analyst
pytorch,Italy,2.0,135.0,Data Scientist
pytorch,Italy,2.0,135.0,Machine Learning Engineer
python,Sweden,28.0,135.0,Data Scientist
python,Sweden,28.0,135.0,Data Engineer
python,Sweden,28.0,135.0,Business Analyst
python,Sweden,28.0,135.0,Data Analyst
python,Sweden,28.0,135.0,Senior Data Scientist
python,Sweden,28.0,135.0,Senior Data Engineer
python,Sweden,28.0,135.0,Machine Learning Engineer
python,Sweden,28.0,135.0,Senior Data Analyst
visio,France,4.0,135.0,Senior Data Engineer
visio,France,4.0,135.0,Data Engineer
visio,France,4.0,135.0,Data Scientist
redshift,Ireland,3.0,135.0,Data Engineer
redshift,Ireland,3.0,135.0,Senior Data Engineer
databricks,Ireland,3.0,135.0,Senior Data Engineer
databricks,Ireland,3.0,135.0,Data Analyst
databricks,Ireland,3.0,135.0,Data Engineer
powershell,Portugal,3.0,134.0,Software Engineer
powershell,Portugal,3.0,134.0,Senior Data Engineer
jira,France,6.0,134.0,Data Analyst
jira,France,6.0,134.0,Data Engineer
jira,France,6.0,134.0,Senior Data Analyst
jira,France,6.0,134.0,Software Engineer
scala,Germany,10.0,134.0,Data Engineer
scala,Germany,10.0,134.0,Cloud Engineer
scala,Germany,10.0,134.0,Data Scientist
scala,Germany,10.0,134.0,Senior Data Engineer
scala,Germany,10.0,134.0,Senior Data Scientist
scala,Germany,10.0,134.0,Machine Learning Engineer
sap,Italy,4.0,134.0,Data Engineer
sap,Italy,4.0,134.0,Data Analyst
sap,Italy,4.0,134.0,Data Scientist
matplotlib,Portugal,3.0,134.0,Data Scientist
matplotlib,Portugal,3.0,134.0,Machine Learning Engineer
looker,France,10.0,134.0,Data Engineer
looker,France,10.0,134.0,Data Analyst
looker,France,10.0,134.0,Senior Data Engineer
looker,France,10.0,134.0,Software Engineer
looker,France,10.0,134.0,Data Scientist
looker,France,10.0,134.0,Senior Data Analyst
tableau,Romania,5.0,134.0,Senior Data Analyst
tableau,Romania,5.0,134.0,Data Analyst
tableau,Romania,5.0,134.0,Data Engineer
tableau,Romania,5.0,134.0,Senior Data Engineer
kafka,France,28.0,134.0,Business Analyst
kafka,France,28.0,134.0,Data Engineer
